field,title,note
retention_rate_d1_dnu$reg,注册用户第1日留存,在JJ斗地主全部或分端注册的用户（注册日为第0日），第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d2_dnu$reg,注册用户第2日留存,在JJ斗地主全部或分端注册的用户（注册日为第0日），第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d7_dnu$reg,注册用户第7日留存,在JJ斗地主全部或分端注册的用户（注册日为第0日），第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d14_dnu$reg,注册用户第14日留存,在JJ斗地主全部或分端注册的用户（注册日为第0日），第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d30_dnu$reg,注册用户第30日留存,在JJ斗地主全部或分端注册的用户（注册日为第0日），第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d1_dnu$recurring,回流用户第1日留存,在JJ斗地主全部或分端回流的用户（注册日为第0日），第N日仍登录棋牌所有App或者H5端的比例。回流判定条件为超过90天未登录棋牌所有App及H5端，或者超过30天未登录棋牌所有App及H5端且本次登录发生在重新安装的App。
retention_rate_d2_dnu$recurring,回流用户第2日留存,在JJ斗地主全部或分端回流的用户（注册日为第0日），第N日仍登录棋牌所有App或者H5端的比例。回流判定条件为超过90天未登录棋牌所有App及H5端，或者超过30天未登录棋牌所有App及H5端且本次登录发生在重新安装的App。
retention_rate_d7_dnu$recurring,回流用户第7日留存,在JJ斗地主全部或分端回流的用户（注册日为第0日），第N日仍登录棋牌所有App或者H5端的比例。回流判定条件为超过90天未登录棋牌所有App及H5端，或者超过30天未登录棋牌所有App及H5端且本次登录发生在重新安装的App。
retention_rate_d14_dnu$recurring,回流用户第14日留存,在JJ斗地主全部或分端回流的用户（注册日为第0日），第N日仍登录棋牌所有App或者H5端的比例。回流判定条件为超过90天未登录棋牌所有App及H5端，或者超过30天未登录棋牌所有App及H5端且本次登录发生在重新安装的App。
retention_rate_d30_dnu$recurring,回流用户第30日留存,在JJ斗地主全部或分端回流的用户（注册日为第0日），第N日仍登录棋牌所有App或者H5端的比例。回流判定条件为超过90天未登录棋牌所有App及H5端，或者超过30天未登录棋牌所有App及H5端且本次登录发生在重新安装的App。
retention_rate_d1_dau$active,活跃用户第1日留存,在JJ斗地主全部或分端登录的用户（登录日为第0日），第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d2_dau$active,活跃用户第2日留存,在JJ斗地主全部或分端登录的用户（登录日为第0日），第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d7_dau$active,活跃用户第7日留存,在JJ斗地主全部或分端登录的用户（登录日为第0日），第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d14_dau$active,活跃用户第14日留存,在JJ斗地主全部或分端登录的用户（登录日为第0日），第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d30_dau$active,活跃用户第30日留存,在JJ斗地主全部或分端登录的用户（登录日为第0日），第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d1_dau$highly_active,高活跃用户第1日留存,当日游戏时长大于等于30min且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d2_dau$highly_active,高活跃用户第2日留存,当日游戏时长大于等于30min且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d7_dau$highly_active,高活跃用户第7日留存,当日游戏时长大于等于30min且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d14_dau$highly_active,高活跃用户第14日留存,当日游戏时长大于等于30min且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d30_dau$highly_active,高活跃用户第30日留存,当日游戏时长大于等于30min且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d1_dau$vip3,VIP3及以上用户第1日留存,VIP等级为VIP3及以上且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d2_dau$vip3,VIP3及以上用户第2日留存,VIP等级为VIP3及以上且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d7_dau$vip3,VIP3及以上用户第7日留存,VIP等级为VIP3及以上且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d14_dau$vip3,VIP3及以上用户第14日留存,VIP等级为VIP3及以上且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d30_dau$vip3,VIP3及以上用户第30日留存,VIP等级为VIP3及以上且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d1_dau$svip,超级会员第1日留存,为超级会员身份且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d2_dau$svip,超级会员第2日留存,为超级会员身份且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d7_dau$svip,超级会员第7日留存,为超级会员身份且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d14_dau$svip,超级会员第14日留存,为超级会员身份且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d30_dau$svip,超级会员第30日留存,为超级会员身份且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d1_dau$pay100,近30日非兑奖充值100元以上用户第1日留存,近30日非兑奖充值累计100元以上且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d2_dau$pay100,近30日非兑奖充值100元以上用户第2日留存,近30日非兑奖充值累计100元以上且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d7_dau$pay100,近30日非兑奖充值100元以上用户第7日留存,近30日非兑奖充值累计100元以上且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d14_dau$pay100,近30日非兑奖充值100元以上用户第14日留存,近30日非兑奖充值累计100元以上且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
retention_rate_d30_dau$pay100,近30日非兑奖充值100元以上用户第30日留存,近30日非兑奖充值累计100元以上且在JJ斗地主全部或分端登录的用户，第N日仍登录棋牌所有App或者H5端的比例
pay_money$active,充值金额(元),用户在JJ斗地主全部或分端的的充值金额（元）
pay_user$active,付费用户数,在JJ斗地主全部或分端的去重付费用户数
pay_rate$active,付费率,在JJ斗地主全部或分端的去重付费用户数/在JJ斗地主全部或分端的登录去重用户数
arpu$active,ARPU(元),用户在JJ斗地主全部或分端的充值金额（元）/在JJ斗地主全部或分端的登录去重用户数
arppu$active,ARPPU(元),用户在JJ斗地主全部或分端的充值金额（元）/在JJ斗地主全部或分端的去重付费用户数
pay_svip$active,超级会员购买用户数,在JJ斗地主全部或分端购买超级会员的去重用户数
pay_firstly_user$active,首充用户数,历史首次在JJ斗地主全部或分端付费的去重用户数
pay_qiuka_gold_ratio$active,秋卡返还比,秋卡发放(元）/金币净回收(元）
pay_gold_recover$active,金币净回收(元),在JJ斗地主全部或分端，系统从用户侧扣除的金币总量（仅比赛，包括捕鱼道具）-系统给用户发放的金币总量（仅比赛）【1000金币=1元】
pay_qiuka_provide$active,秋卡发放(元),在JJ斗地主全部或分端，系统给用户发放的秋卡总量（仅比赛）【1秋卡=12金币，1000金币=1元】
